gene_id,gene,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name,FPKM of control-1,FPKM of control-2,FPKM of control-3,FPKM of Flu30d-Amor-1,FPKM of Flu30d-Amor-2
abgR,abgR,putative DNA-binding transcriptional regulator of abgABT operon,putative transcriptional regulator LYSR-type,NC_000913.3:1404740-1405649,16129300,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",945831,NP_415855.1,302,putative DNA-binding transcriptional regulator of abgABT operon,12.4491,15.8766,10.5427,5.64461,5.69437
abgT,abgT,p-aminobenzoyl-glutamate transporter%3B membrane protein,,NC_000913.3:1400246-1401773,90111251,(METABOLISM) [H] Coenzyme transport and metabolism,[COG2978] p-Aminobenzoyl-glutamate transporter AbgT,945912,NP_415852.2,508,p-aminobenzoyl-glutamate transporter; membrane protein,2.66717,2.01283,2.62487,2.54302,1.4831
abrB,abrB,regulator of aidB expression%3B inner membrane protein,putative transport protein,NC_000913.3:745934-747769,90111163,(POORLY CHARACTERIZED) [R] General function prediction only,"[COG3180] Uncharacterized membrane protein AbrB, regulator of aidB expression",945321,NP_415243.4,348,regulator of aidB expression; inner membrane protein,9.24128,8.254,9.5475,7.84636,8.16813
accA,accA,acetyl-CoA carboxylase%2C carboxytransferase%2C alpha subunit,acetylCoA carboxylase%2C carboxytransferase component%2C alpha subunit,NC_000913.3:208620-209580,16128178,(METABOLISM) [I] Lipid transport and metabolism,[COG0825] Acetyl-CoA carboxylase alpha subunit,944895,NP_414727.1,319,"acetyl-CoA carboxylase, carboxytransferase, alpha subunit",55.9492,56.3404,38.4287,60.1917,66.1598
accB,accB,acetyl CoA carboxylase%2C BCCP subunit,acetylCoA carboxylase%2C BCCP subunit%3B carrier of biotin,NC_000913.3:3405435-3405906,16131143,(METABOLISM) [H] Coenzyme transport and metabolism; [I] Lipid transport and metabolism,[COG0511] Biotin carboxyl carrier protein,947758,NP_417721.1,156,"acetyl CoA carboxylase, BCCP subunit",138.57,161.732,117.716,167.916,151.836
accC,accC,acetyl-CoA carboxylase%2C biotin carboxylase subunit,acetyl CoA carboxylase%2C biotin carboxylase subunit,NC_000913.3:3405916-3407266,16131144,(METABOLISM) [I] Lipid transport and metabolism,[COG0439] Biotin carboxylase,947761,NP_417722.1,449,"acetyl-CoA carboxylase, biotin carboxylase subunit",75.7677,88.6971,55.156,96.2897,107.585
accD,accD,acetyl-CoA carboxylase%2C beta (carboxyltransferase) subunit,acetylCoA carboxylase%2C carboxytransferase component%2C beta subunit,NC_000913.3:2433011-2433926,16130251,(METABOLISM) [I] Lipid transport and metabolism,[COG0777] Acetyl-CoA carboxylase beta subunit,946796,NP_416819.1,304,"acetyl-CoA carboxylase, beta (carboxyltransferase) subunit",118.291,132.331,78.1416,104.636,93.7506
aceA,aceA,isocitrate lyase,,NC_000913.3:4217108-4218413,16131841,(METABOLISM) [C] Energy production and conversion,[COG2224] Isocitrate lyase,948517,NP_418439.1,434,isocitrate lyase,285.848,330.603,141.589,145.062,69.6312
aceB,aceB,malate synthase A,,NC_000913.3:4215477-4217079,16131840,(METABOLISM) [C] Energy production and conversion,[COG2225] Malate synthase,948512,NP_418438.1,533,malate synthase A,204.942,233.15,102.41,81.728,41.5515
aceE,aceE,pyruvate dehydrogenase%2C decarboxylase component E1%2C thiamine triphosphate-binding,pyruvate dehydrogenase (decarboxylase component),NC_000913.3:123016-125680,16128107,(METABOLISM) [C] Energy production and conversion,"[COG2609] Pyruvate dehydrogenase complex, dehydrogenase (E1) component",944834,NP_414656.1,887,"pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding",227.311,248.019,206.028,435.421,548.334
aceF,aceF,pyruvate dehydrogenase%2C dihydrolipoyltransacetylase component E2,pyruvate dehydrogenase (dihydrolipoyltransacetylase component),NC_000913.3:125694-127587,16128108,(METABOLISM) [C] Energy production and conversion,"[COG0508] Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component",944794,NP_414657.1,630,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2",205.719,218.075,172.507,405.804,528.84
aceK,aceK,isocitrate dehydrogenase kinase/phosphatase,,NC_000913.3:4218595-4222487,16131842,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,[COG4579] Isocitrate dehydrogenase kinase/phosphatase,944797,NP_418440.1,578,isocitrate dehydrogenase kinase/phosphatase,33.1075,39.602,21.4464,18.5226,9.75513
ackA,ackA,acetate kinase A and propionate kinase 2,acetate kinase,NC_000913.3:2413469-2414672,16130231,(METABOLISM) [C] Energy production and conversion,[COG0282] Acetate kinase,946775,NP_416799.1,400,acetate kinase A and propionate kinase 2,193.71,210.072,143.244,246.865,228.868
acnA,acnA,aconitate hydratase 1%3B aconitase A,aconitate hydrase 1,NC_000913.3:1335830-1338506,16129237,(METABOLISM) [C] Energy production and conversion,[COG1048] Aconitase A,946724,NP_415792.1,891,aconitate hydratase 1; aconitase A,82.0248,65.01,132.007,69.8791,48.5483
acnB,acnB,aconitate hydratase 2%3B aconitase B%3B 2-methyl-cis-aconitate hydratase,aconitate hydrase B,NC_000913.3:131614-134212,16128111,(METABOLISM) [C] Energy production and conversion,[COG1049] Aconitase B,944864,NP_414660.1,865,aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase,361.988,381.761,377.832,368.455,289.026
acpH,acpH,acyl carrier protein (ACP) phosphodiesterase%3B ACP hydrolyase,putative glycoprotein,NC_000913.3:424336-424918,16128389,(METABOLISM) [I] Lipid transport and metabolism,[COG3124] Acyl carrier protein phosphodiesterase,949132,NP_414938.1,193,acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase,7.60521,6.1552,5.18954,4.53025,4.10635
acpP,acpP,acyl carrier protein (ACP),acyl carrier protein,NC_000913.3:1151614-1151851,16129057,"(METABOLISM) [I] Lipid transport and metabolism; [Q] Secondary metabolites biosynthesis, transport and catabolism",[COG0236] Acyl carrier protein,944805,NP_415612.1,78,acyl carrier protein (ACP),2253.31,2831.16,2688.05,2615.8,2564.29
acpS,acpS,holo-[acyl-carrier-protein] synthase 1,CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase,NC_000913.3:2700617-2701729,16130488,(METABOLISM) [I] Lipid transport and metabolism,[COG0736] Phosphopantetheinyl transferase (holo-ACP synthase),947037,NP_417058.1,126,holo,25.5695,23.7333,24.0171,20.3931,21.8205
acpT,acpT,4'-phosphopantetheinyl transferase,,NC_000913.3:3612968-3613556,16131347,(METABOLISM) [H] Coenzyme transport and metabolism,[COG2091] Phosphopantetheinyl transferase,947979,NP_417932.1,195,4\'-phosphopantetheinyl transferase,10.6551,14.3224,4.51435,7.5734,6.29646
acrA,acrA,multidrug efflux system,acridine efflux pump,NC_000913.3:484425-485619,16128447,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis; [V] Defense mechanisms,[COG0845] Multidrug efflux pump subunit AcrA (membrane-fusion protein),945112,NP_414996.1,397,multidrug efflux system,42.8251,45.7445,46.201,335.684,290.174
acrB,acrB,multidrug efflux system protein,acridine efflux pump,NC_000913.3:481253-484403,16128446,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG0841] Multidrug efflux pump subunit AcrB,945108,NP_414995.1,1049,multidrug efflux system protein,36.3613,35.7277,40.8574,337.154,326.719
acrD,acrD,aminoglycoside/multidrug efflux system,,NC_000913.3:2587594-2590708,16130395,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG0841] Multidrug efflux pump subunit AcrB,945464,NP_416965.1,1037,aminoglycoside/multidrug efflux system,2.42836,2.03835,3.05457,3.63883,3.95561
acrE,acrE,cytoplasmic membrane lipoprotein,transmembrane protein affects septum formation and cell membrane permeability,NC_000913.3:3413863-3415021,16131153,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis; [V] Defense mechanisms,[COG0845] Multidrug efflux pump subunit AcrA (membrane-fusion protein),947706,NP_417731.1,385,cytoplasmic membrane lipoprotein,0.674882,0.572281,1.28518,1.2449,2.16302
acrF,acrF,multidrug efflux system protein,integral transmembrane protein%3B acridine resistance,NC_000913.3:3415032-3418137,16131154,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG0841] Multidrug efflux pump subunit AcrB,947768,NP_417732.1,1034,multidrug efflux system protein,1.69363,1.67444,2.99873,2.52689,2.38064
acrR,acrR,transcriptional repressor,acrAB operon repressor,NC_000913.3:485760-486408,16128448,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1309] DNA-binding transcriptional regulator, AcrR family",945516,NP_414997.1,215,transcriptional repressor,14.4118,14.9018,11.8672,8.84976,11.9379
acrS,acrS,acrAB operon transcriptional repressor,putative transcriptional regulator,NC_000913.3:3412802-3413465,16131152,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1309] DNA-binding transcriptional regulator, AcrR family",947704,NP_417730.1,220,acrAB operon transcriptional repressor,0.11184,0.413057,2.43011,1.1556,1.39933
acrZ,acrZ,AcrAB-TolC efflux pump accessory protein%2C membrane-associated,,NC_000913.3:794772-794922,-,-,-,-,-,-,-,532.593,405.061,163.621,166.698,229.125
acs,acs,acetyl-CoA synthetase,,NC_000913.3:4285412-4287371,16131895,(METABOLISM) [I] Lipid transport and metabolism,[COG0365] Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase,948572,NP_418493.1,652,acetyl-CoA synthetase,42.3875,48.6803,25.4874,42.6765,18.7099
actP,actP,acetate transporter,acetate permease~also transports glycolate with a rate high enough to support growth on this carbon source,NC_000913.3:4283252-4285213,16131893,(METABOLISM) [C] Energy production and conversion,[COG4147] Na+(or H+)/acetate symporter ActP,948575,NP_418491.1,549,acetate transporter,13.8142,15.1214,11.5657,24.7714,14.6203
acuI,acuI,putative acryloyl-CoA reductase,putative dehydrogenase,NC_000913.3:3403483-3404458,16131141,(METABOLISM) [C] Energy production and conversion; [R] General function prediction only,[COG0604] NADPH:quinone reductase or related Zn-dependent oxidoreductase,947848,NP_417719.1,324,putative acryloyl-CoA reductase,24.392,19.4962,19.2924,38.7429,30.9044
ada,ada,fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase,O6-methylguanine-DNA methyltransferase%3B transcription activator/repressor,NC_000913.3:2308690-2310405,16130150,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair","[COG2169] Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains",946710,NP_416717.1,354,fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase,12.593,10.6716,11.1291,7.04904,8.42554
add,add,adenosine deaminase,,NC_000913.3:1702232-1703234,16129581,(METABOLISM) [F] Nucleotide transport and metabolism,[COG1816] Adenosine deaminase,945851,NP_416140.1,333,adenosine deaminase,23.8078,26.7644,32.9989,61.4119,50.8219
adeD,adeD,cryptic adenine deaminase,,NC_000913.3:3843963-3845730,16131535,(METABOLISM) [F] Nucleotide transport and metabolism,[COG1001] Adenine deaminase,948210,NP_418121.1,588,cryptic adenine deaminase,5.58343,6.33172,8.92829,12.1004,12.172
adeP,adeP,adenine permease%2C high affinity%3B adenine:H+ symporter,putative membrane / transport protein,NC_000913.3:3895271-3896609,16131582,(METABOLISM) [F] Nucleotide transport and metabolism,"[COG2252] Xanthine/uracil/vitamin C permease, AzgA family",948224,NP_418170.1,445,"adenine permease, high affinity; adenine:H+ symporter",24.7675,25.6066,20.6227,11.5265,14.481
adeQ,adeQ,adenine permease%2C high affinity%3B adenine:H+ symporter,,NC_000913.3:3842454-3843789,90111631,(METABOLISM) [F] Nucleotide transport and metabolism,"[COG2252] Xanthine/uracil/vitamin C permease, AzgA family",948174,NP_418120.2,444,"adenine permease, high affinity; adenine:H+ symporter",2.38758,1.5465,5.29162,6.83497,6.20666
adhE,adhE,fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase%3B pyruvate-formate-lyase deactivase,NC_000913.3:1295445-1298121,16129202,(METABOLISM) [C] Energy production and conversion,"[COG1454] Alcohol dehydrogenase, class IV",945837,NP_415757.1,891,fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase,176.391,181.166,119.16,376.578,676.236
adhP,adhP,ethanol-active dehydrogenase/acetaldehyde-active reductase,alcohol dehydrogenase,NC_000913.3:1552827-1553838,90111280,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG1064] D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family",946036,NP_415995.4,336,ethanol-active dehydrogenase/acetaldehyde-active reductase,5.2785,4.82031,7.84169,8.27667,6.27559
adiA,adiA,arginine decarboxylase,,NC_000913.3:4338253-4340521,221800782,(METABOLISM) [E] Amino acid transport and metabolism,[COG1982] Arginine/lysine/ornithine decarboxylase,948638,NP_418541.2,755,arginine decarboxylase,6.67501,8.44654,4.10009,6.16041,16.887
adiC,adiC,arginine:agmatine antiporter,putative amino acid/amine transport protein%2C cryptic,NC_000913.3:4335693-4337031,16131941,(METABOLISM) [E] Amino acid transport and metabolism,[COG0531] Amino acid transporter,948628,NP_418539.1,445,arginine:agmatine antiporter,5.38216,7.18394,4.67956,7.94207,34.5067
adiY,adiY,adi system transcriptional activator,putative ARAC-type regulatory protein,NC_000913.3:4337167-4337929,16131942,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,[COG2207] AraC-type DNA-binding domain and AraC-containing proteins,948627,NP_418540.1,253,adi system transcriptional activator,16.8079,18.462,10.5687,7.99362,22.1575
adk,adk,adenylate kinase,adenylate kinase activity%3B pleiotropic effects on glycerol-3-phosphate acyltransferase activity,NC_000913.3:497174-497819,16128458,(METABOLISM) [F] Nucleotide transport and metabolism,[COG0563] Adenylate kinase or related kinase,945097,NP_415007.1,214,adenylate kinase,209.051,252.863,130.688,138.024,110.888
aegA,aegA,putative oxidoreductase%2C FeS binding subunit/NAD/FAD-binding subunit,,NC_000913.3:2583545-2585525,16130393,(METABOLISM) [C] Energy production and conversion,[COG1142] Fe-S-cluster-containing hydrogenase component 2,947383,NP_416963.1,659,"putative oxidoreductase, FeS binding subunit/NAD/FAD-binding subunit",8.71845,7.58715,6.57969,9.95492,7.71706
aer,aer,fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component,aerotaxis sensor receptor%2C flavoprotein,NC_000913.3:3217555-3219076,16130967,(CELLULAR PROCESSES AND SIGNALING) [N] Cell motility; [T] Signal transduction mechanisms,[COG0840] Methyl-accepting chemotaxis protein,945301,NP_417543.1,506,fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component,4.90454,4.84447,10.1222,6.87215,8.75187
aes,aes,acetyl esterase,,NC_000913.3:498054-499973,16128460,(METABOLISM) [I] Lipid transport and metabolism,[COG0657] Acetyl esterase/lipase,947514,NP_415009.1,319,acetyl esterase,18.1817,14.6044,7.70178,9.32401,12.9616
afuB,afuB,,pseudogene%2C CP4-6 prophage%3B ferric iron ABC transporter permease gene fragment%3BPhage or Prophage Related,NC_000913.3:278813-279161,-,-,-,-,-,-,-,2.10441,4.69008,4.47802,3.99646,3.13266
afuC,afuC,CP4-6 prophage%3B putative ferric transporter subunit,putative ATP-binding component of a transport system,NC_000913.3:277755-278802,90111106,(METABOLISM) [E] Amino acid transport and metabolism,"[COG3842] ABC-type Fe3+/spermidine/putrescine transport systems, ATPase components",947676,NP_414796.2,348,CP4-6 prophage; putative ferric transporter subunit,2.53186,2.28302,2.16989,1.58795,2.79436
agaA,agaA,,pseudogene%2C N-acetylgalactosamine-6-phosphate deacetylase fragment~putative N-acetylgalactosamine-6-phosphate deacetylase,NC_000913.3:3280700-3281625,-,-,-,-,-,-,-,1.99636,1.70985,5.05757,6.52604,4.55529
agaB,agaB,N-acetylgalactosamine-specific enzyme IIB component of PTS,PTS system%2C cytoplasmic%2C N-acetylgalactosamine-specific IIB component 1 (EIIB-AGA),NC_000913.3:3284169-3284646,16131030,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG3444] Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB",947653,NP_417607.1,158,N-acetylgalactosamine-specific enzyme IIB component of PTS,0.17792,0.983493,1.83285,0.52541,1.22212
agaC,agaC,N-acetylgalactosamine-specific enzyme IIC component of PTS,PTS system N-acetylgalactosamine-specific IIC component 1,NC_000913.3:3284684-3286269,16131031,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG3715] Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIC",947652,NP_417608.1,267,N-acetylgalactosamine-specific enzyme IIC component of PTS,0.261797,0.0806412,0.399031,0.643983,0.495088
agaD,agaD,N-acetylgalactosamine-specific enzyme IID component of PTS,PTS system%2C N-acetylglucosamine enzyme IID component 1,NC_000913.3:3284684-3286269,16131032,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG3716] Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IID",947649,NP_417609.1,263,N-acetylgalactosamine-specific enzyme IID component of PTS,0.355714,0.575213,0.813292,0.65626,1.31198
agaI,agaI,galactosamine-6-phosphate isomerase,putative galactosamine-6-phosphate isomerase,NC_000913.3:3286269-3287025,16131033,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0363] 6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase,947985,NP_417610.1,251,galactosamine-6-phosphate isomerase,0.660247,0.871402,2.37237,2.08822,1.71357
agaR,agaR,transcriptional repressor of the aga regulon,putative DEOR-type transcriptional regulator of aga operon,NC_000913.3:3277855-3278665,16131023,(INFORMATION STORAGE AND PROCESSING | METABOLISM) [K] Transcription; [G] Carbohydrate transport and metabolism,"[COG1349] DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family",947636,NP_417600.1,269,transcriptional repressor of the aga regulon,50.1452,35.6338,22.7314,21.5649,19.4223
agaS,agaS,tagatose-6-phosphate ketose/aldose isomerase,putative tagatose-6-phosphate aldose/ketose isomerase,NC_000913.3:3281975-3283130,16131028,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG2222] Fructoselysine-6-P-deglycase FrlB and related proteins with duplicated sugar isomerase (SIS) domain,947645,NP_417605.1,384,tagatose-6-phosphate ketose/aldose isomerase,2.93333,2.0873,2.38478,2.41407,2.42484
agaV,agaV,N-acetylgalactosamine-specific enzyme IIB component of PTS,PTS system%2C cytoplasmic%2C N-acetylgalactosamine-specific IIB component 2 (EIIB-AGA),NC_000913.3:3280216-3280690,90111546,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG3444] Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB",947648,NP_417602.4,157,N-acetylgalactosamine-specific enzyme IIB component of PTS,1.97594,2.48223,2.46735,3.44802,4.31926
agaW,agaW,,pseudogene%2C N-acetylgalactosamine-specific enzyme IIC component of PTS%3Benzyme%3B Central intermediary metabolism: Amino sugars~PTS system N-acetylgalactosameine-specific IIC component 2,NC_000913.3:3280700-3281625,-,-,-,-,-,-,-,1.57711,0.966021,0.903316,3.10581,1.5166
agp,agp,glucose-1-phosphatase/inositol phosphatase,periplasmic glucose-1-phosphatase,NC_000913.3:1065584-1066826,-,-,-,-,-,-,-,249.884,221.595,187.899,311.955,331.747
agrA,agrA,,,NC_000913.3:3648062-3648146,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
agrB,agrB,,,NC_000913.3:3648293-3648377,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ahpC,ahpC,alkyl hydroperoxide reductase%2C C22 subunit,alkyl hydroperoxide reductase%2C C22 subunit%3B detoxification of hydroperoxides,NC_000913.3:638944-639508,16128588,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG0450] Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin),945225,NP_415138.1,187,"alkyl hydroperoxide reductase, C22 subunit",832.375,921.762,702.694,1023.02,1213.29
ahpF,ahpF,alkyl hydroperoxide reductase%2C F52a subunit%2C FAD/NAD(P)-binding,alkyl hydroperoxide reductase%2C F52a subunit%3B detoxification of hydroperoxides,NC_000913.3:639752-641318,90111152,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG3634] Alkyl hydroperoxide reductase subunit AhpF,947540,NP_415139.2,521,"alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding",79.5873,85.3319,44.4303,86.7677,118.853
ahr,ahr,broad specificity NADPH-dependent aldehyde reductase%2C Zn-containing,putative oxidoreductase,NC_000913.3:4495189-4496209,90111716,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG1064] D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family",948802,NP_418690.4,339,"broad specificity NADPH-dependent aldehyde reductase, Zn-containing",5.2884,5.55475,6.19253,5.78103,6.8746
aidB,aidB,DNA alkylation damage repair protein%3B flavin-containing DNA binding protein%2C weak isovaleryl CoA dehydrogenase,putative acyl coenzyme A dehydrogenase,NC_000913.3:4414274-4415900,162135915,(METABOLISM) [I] Lipid transport and metabolism,[COG1960] Acyl-CoA dehydrogenase related to the alkylation response protein AidB,948710,NP_418608.6,541,"DNA alkylation damage repair protein; flavin-containing DNA binding protein, weak isovaleryl CoA dehydrogenase",6.27432,4.92235,7.34167,5.19359,7.08487
ais,ais,putative LPS core heptose(II)-phosphate phosphatase,protein induced by aluminum,NC_000913.3:2365017-2365620,16130187,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0406] Broad specificity phosphatase PhoE,944945,NP_416755.1,200,putative LPS core heptose(II)-phosphate phosphatase,0.635334,1.75895,0.872084,0.562729,1.01324
alaA,alaA,glutamate-pyruvate aminotransferase%3B glutamic-pyruvic transaminase (GPT)%3B alanine transaminase,putative aminotransferase,NC_000913.3:2407560-2408778,16130225,(METABOLISM) [E] Amino acid transport and metabolism,[COG0436] Aspartate/methionine/tyrosine aminotransferase,946772,NP_416793.1,405,glutamate-pyruvate aminotransferase; glutamic-pyruvic transaminase (GPT); alanine transaminase,35.7515,41.3694,30.2413,26.1438,28.3123
alaC,alaC,glutamate-pyruvate aminotransferase%3B glutamic-pyruvic transaminase (GPT)%3B alanine transaminase,putative aminotransferase,NC_000913.3:2497056-2498295,16130311,(METABOLISM) [E] Amino acid transport and metabolism,[COG0436] Aspartate/methionine/tyrosine aminotransferase,946850,NP_416880.1,412,glutamate-pyruvate aminotransferase; glutamic-pyruvic transaminase (GPT); alanine transaminase,7.85339,5.38928,11.7059,14.5821,15.4076
alaE,alaE,alanine exporter%2C alanine-inducible%2C stress-responsive,,NC_000913.3:2799163-2799613,-,-,-,-,-,-,-,154.506,113.061,142.576,59.767,52.2124
alaS,alaS,alanyl-tRNA synthetase,,NC_000913.3:2819380-2822011,16130604,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0013] Alanyl-tRNA synthetase,947175,NP_417177.1,876,alanyl-tRNA synthetase,63.6494,64.5555,49.2947,87.385,94.395
alaT,alaT,,anticodon: UGC,NC_000913.3:4037259-4037335,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
alaU,alaU,,anticodon: UGC,NC_000913.3:3426957-3427033,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
alaV,alaV,,anticodon: UGC,NC_000913.3:225499-225575,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
alaW,alaW,,anticodon: GGC,NC_000913.3:2518155-2518231,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
alaX,alaX,,anticodon: GGC,NC_000913.3:2518040-2518116,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
