antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,downregulated,glpB,glpB,265.105,-8.785729813701181,0.00226585331942493,9.345452855988162e-05,0.041605956114859295,12.131726633291164,BH_from_pvalue,anaerobic sn-glycerol-3-phosphate dehydrogenase membrane anchor subunit,,NC_000913.3:2352646-2356711,16130177,(METABOLISM) [E] Amino acid transport and metabolism,[COG3075] Anaerobic glycerol-3-phosphate dehydrogenase,946733,NP_416745.1,419,anaerobic sn-glycerol-3-phosphate dehydrogenase membrane anchor subunit
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,pflB,pflB,341.5696,-9.121732633400722,0.0017950843676621186,0.0006143039261765409,0.08145934322710978,9.934105893606628,BH_from_pvalue,formate C-acetyltransferase 1%2C anaerobic%3B pyruvate formate-lyase 1,formate acetyltransferase 1,NC_000913.3:951271-953554,16128870,(METABOLISM) [C] Energy production and conversion,[COG1882] Pyruvate-formate lyase,945514,NP_415423.1,760,"formate C-acetyltransferase 1, anaerobic; pyruvate formate-lyase 1"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,glpC,glpC,217.37779999999998,-8.481815941443925,0.0027971707870189837,0.0004644834399363206,0.07385744360400583,9.598071507194867,BH_from_pvalue,anaerobic sn-glycerol-3-phosphate dehydrogenase%2C C subunit%2C 4Fe-4S iron-sulfur cluster,sn-glycerol-3-phosphate dehydrogenase (anaerobic)%2C K-small subunit,NC_000913.3:2352646-2356711,16130178,(METABOLISM) [C] Energy production and conversion,[COG0247] Fe-S oxidoreductase,946735,NP_416746.1,396,"anaerobic sn-glycerol-3-phosphate dehydrogenase, C subunit, 4Fe-4S iron-sulfur cluster"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,dmlA,dmlA,361.37257,6.241625039792369,75.66871496314644,0.0005142813907736255,0.07385744360400583,7.063058650011998,BH_from_pvalue,D-malate oxidase%2C NAD-dependent%3B putative tartrate dehydrogenase,putative tartrate dehydrogenase,NC_000913.3:1881911-1882997,16129754,(METABOLISM) [C] Energy production and conversion; [E] Amino acid transport and metabolism,[COG0473] Isocitrate/isopropylmalate dehydrogenase,946319,NP_416314.1,361,"D-malate oxidase, NAD-dependent; putative tartrate dehydrogenase"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,upregulated,mtlA,mtlA,818.4139600000001,4.937971961787258,30.65333124185735,6.702365498619191e-05,0.03974188656101514,6.916871734294545,BH_from_pvalue,mannitol-specific PTS enzyme: IIA%2C IIB and IIC components,PTS system%2C mannitol-specific enzyme IIABC components,NC_000913.3:3772280-3774194,16131470,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG4668] Mannitol/fructose-specific phosphotransferase system, IIA domain",948118,NP_418056.1,637,"mannitol-specific PTS enzyme: IIA, IIB and IIC components"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,xdhD,xdhD,121.826,-7.5400348639833785,0.005373080380367904,0.00314557116015636,0.1251911800917954,6.804325513482301,BH_from_pvalue,putative hypoxanthine oxidase%2C molybdopterin-binding/Fe-S binding,,NC_000913.3:3020539-3024186,16130783,(METABOLISM) [C] Energy production and conversion,"[COG2080] Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family",949079,NP_417357.1,956,"putative hypoxanthine oxidase, molybdopterin-binding/Fe-S binding"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ygfM,ygfM,108.61460000000002,-7.40222273733146,0.005911652828456314,0.002608985236711469,0.12099169035249437,6.789647766284987,BH_from_pvalue,putative oxidoreductase,,NC_000913.3:3020539-3024186,16130782,(METABOLISM) [C] Energy production and conversion,"[COG1319] CO or xanthine dehydrogenase, FAD-binding subunit",949071,NP_417356.1,259,putative oxidoreductase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,tdcF,tdcF,391.50552000000005,5.647606187286075,50.13013406558707,0.00109118534013987,0.09786668131877767,5.700496801170582,BH_from_pvalue,putative reactive intermediate deaminase,,NC_000913.3:3259720-3260110,90111542,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,"[COG0251] Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family",947624,NP_417583.4,129,putative reactive intermediate deaminase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,tdcC,tdcC,218.06581999999997,4.762763163118399,27.14779583012825,0.00028879123285838063,0.06766834572029003,5.570596572409725,BH_from_pvalue,L-threonine/L-serine transporter,anaerobically inducible L-threonine%2C L-serine permease,NC_000913.3:3263685-3265017,16131009,(METABOLISM) [E] Amino acid transport and metabolism,[COG0814] Amino acid permease,947629,NP_417586.1,443,L-threonine/L-serine transporter
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,tdcE,tdcE,267.6516,5.493488522122483,45.05104050903796,0.0012172756697648994,0.09919423906205657,5.5127901675296815,BH_from_pvalue,pyruvate formate-lyase 4/2-ketobutyrate formate-lyase,probable formate acetyltransferase 3,NC_000913.3:3260123-3262418,49176316,(METABOLISM) [C] Energy production and conversion,[COG1882] Pyruvate-formate lyase,947623,YP_026205.1,764,pyruvate formate-lyase 4/2-ketobutyrate formate-lyase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,tdcD,tdcD,110.825242,4.721426466189394,26.380983886065412,0.0003999108263610403,0.07385744360400583,5.342793235705794,BH_from_pvalue,propionate kinase/acetate kinase C%2C anaerobic,propionate kinase/acetate kinase II%2C anaerobic,NC_000913.3:3262451-3263660,145698313,(METABOLISM) [C] Energy production and conversion,[COG0282] Acetate kinase,947635,NP_417585.2,402,"propionate kinase/acetate kinase C, anaerobic"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,tdcG,tdcG,105.24543600000001,4.9812589061787875,31.5869975650913,0.0008641315431086133,0.08870586741558123,5.240521741112368,BH_from_pvalue,L-serine dehydratase 3%2C anaerobic,L-serine dehydratase,NC_000913.3:3258284-3259649,49176314,(METABOLISM) [E] Amino acid transport and metabolism,[COG1760] L-serine deaminase,2847724,YP_026204.1,454,"L-serine dehydratase 3, anaerobic"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,mtlD,mtlD,536.64102,4.545879521571648,23.35856143230561,0.00041617267453004654,0.07385744360400583,5.144143307560352,BH_from_pvalue,mannitol-1-phosphate dehydrogenase%2C NAD-dependent,mannitol-1-phosphate dehydrogenase,NC_000913.3:3774423-3776159,16131471,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0246] Mannitol-1-phosphate/altronate dehydrogenases,948117,NP_418057.1,382,"mannitol-1-phosphate dehydrogenase, NAD-dependent"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yshB,yshB,49.21916,-6.055630342996939,0.01503396808984684,0.011659152774862675,0.16220796298027695,4.783510933540168,BH_from_pvalue,uncharacterized protein,,NC_000913.3:4053646-4053757,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,upregulated,acrB,acrB,155.36388,3.1090326606435736,8.628038778348147,8.034074102631093e-05,0.03974188656101514,4.3549822270802485,BH_from_pvalue,multidrug efflux system protein,acridine efflux pump,NC_000913.3:481253-484403,16128446,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG0841] Multidrug efflux pump subunit AcrB,945108,NP_414995.1,1049,multidrug efflux system protein
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,deoA,deoA,280.48015999999996,4.978263962385914,31.521492968220024,0.006709385693759273,0.13600113654038248,4.313453959424115,BH_from_pvalue,thymidine phosphorylase,,NC_000913.3:4618228-4619551,16132199,(METABOLISM) [F] Nucleotide transport and metabolism,[COG0213] Thymidine phosphorylase,948901,NP_418799.1,440,thymidine phosphorylase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,asr,asr,79.661652,5.246848278375223,37.97158401757702,0.012792894412364166,0.16724689848076457,4.074922359079778,BH_from_pvalue,acid shock-inducible periplasmic protein,acid shock protein,NC_000913.3:1671375-1671684,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,udp,udp,1828.7995999999998,4.727603581414712,26.49418018632362,0.007936211327981339,0.14246779367811663,4.000891966262265,BH_from_pvalue,uridine phosphorylase,,NC_000913.3:4016430-4017192,16131680,(METABOLISM) [F] Nucleotide transport and metabolism,[COG2820] Uridine phosphorylase,948987,NP_418275.1,253,uridine phosphorylase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yjiY,yjiY,71.61993199999999,4.517372422271562,22.901535438686974,0.004457500607103022,0.13104222737475568,3.9869820056064333,BH_from_pvalue,putative transporter,putative carbon starvation protein,NC_000913.3:4589128-4591279,90111739,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,[COG1966] Carbon starvation protein CstA,948914,NP_418774.2,716,putative transporter
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,uhpT,uhpT,34.179919999999996,5.004144420628592,32.092058355570764,0.011054394524771863,0.16135791614519454,3.964331867568892,BH_from_pvalue,hexose phosphate transporter,hexose phosphate transport protein,NC_000913.3:3845775-3847167,16131536,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG2271] Sugar phosphate permease,948201,NP_418122.1,463,hexose phosphate transporter
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,malE,malE,205.884034,5.1096917611290795,34.527925719347095,0.013050403384541998,0.16840694454487237,3.953061952476992,BH_from_pvalue,maltose transporter subunit,periplasmic maltose-binding protein%3B substrate recognition for transport and chemotaxis%3B periplasmic-binding component of ABC superfamily,NC_000913.3:4245228-4246419,16131860,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG2182] Maltose-binding periplasmic protein MalE,948538,NP_418458.1,396,maltose transporter subunit
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yoeD,yoeD,6.898372,-3.6358503094594936,0.08044517431961974,0.0008436965031739128,0.08870586741558123,3.825087784639783,BH_from_pvalue,,pseudogene%2C CP4-44 putative prophage remnant%3BPhage or Prophage Related,NC_000913.3:2078548-2078677,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,mtlR,mtlR,214.84364,3.536069762910013,11.600135585211936,0.0007299218369762662,0.08409479134496833,3.8020914830374655,BH_from_pvalue,mannitol operon repressor,repressor for mtl,NC_000913.3:3774423-3776159,16131472,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG3722] DNA-binding transcriptional regulator, MltR family",948116,NP_418058.1,195,mannitol operon repressor
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,deoD,deoD,496.90584,3.335753781953904,10.09629302252651,0.0004962711981329141,0.07385744360400583,3.774758088435814,BH_from_pvalue,purine nucleoside phosphorylase 1%3B nicotinamide 1-beta-D-riboside phosphorylase,,NC_000913.3:4620882-4621602,16132201,(METABOLISM) [F] Nucleotide transport and metabolism,[COG0813] Purine-nucleoside phosphorylase,945654,NP_418801.1,239,purine nucleoside phosphorylase 1; nicotinamide 1-beta-D-riboside phosphorylase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,deoC,deoC,348.06142,4.66434540828014,25.35758430467593,0.011742063581701257,0.1623467921296087,3.6827632480913706,BH_from_pvalue,2-deoxyribose-5-phosphate aldolase%2C NAD(P)-linked,2-deoxyribose-5-phosphate aldolase,NC_000913.3:4617322-4618102,16132198,(METABOLISM) [F] Nucleotide transport and metabolism,[COG0274] Deoxyribose-phosphate aldolase,948902,NP_418798.1,259,"2-deoxyribose-5-phosphate aldolase, NAD(P)-linked"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,cdd,cdd,408.26854,4.187829219803974,18.224776535149026,0.005194701283808309,0.13472942717084802,3.6456625331439123,BH_from_pvalue,cytidine/deoxycytidine deaminase,,NC_000913.3:2231843-2232728,16130081,(METABOLISM) [F] Nucleotide transport and metabolism,[COG0295] Cytidine deaminase,946663,NP_416648.1,294,cytidine/deoxycytidine deaminase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,malF,malF,21.493522000000002,4.023610668950078,16.26400511547796,0.003815531104727286,0.12706266643932745,3.6050828757582964,BH_from_pvalue,maltose transporter subunit,part of maltose permease%2C periplasmic%3B membrane component of ABC superfamily,NC_000913.3:4243530-4245075,16131859,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG1175] ABC-type sugar transport system, permease component",948532,NP_418457.1,514,maltose transporter subunit
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ynaE,ynaE,41.0321804,-5.108367596339835,0.028988658935698772,0.027557904498100527,0.1969259450543101,3.604960002614394,BH_from_pvalue,cold shock protein%2C Rac prophage,,NC_000913.3:1433990-1434224,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,malK,malK,15.351004399999999,4.017993097329777,16.200799403621915,0.0034932797808507007,0.1270206415824704,3.6006268687665735,BH_from_pvalue,maltose ABC transportor ATPase,ATP-binding component of transport system for maltose,NC_000913.3:4246783-4247899,16131861,(METABOLISM) [E] Amino acid transport and metabolism,"[COG3842] ABC-type Fe3+/spermidine/putrescine transport systems, ATPase components",948537,NP_418459.1,371,maltose ABC transportor ATPase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ydfK,ydfK,62.863648,-5.2204255015256305,0.026822257894438824,0.03682989660598693,0.208874776674973,3.5504844770509894,BH_from_pvalue,cold shock protein%2C function unknown%2C Qin prophage,,NC_000913.3:1631001-1652708,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,tsx,tsx,179.41928000000001,3.3469014494581595,10.17460900236094,0.0008019120557607808,0.08870586741558123,3.52109981464522,BH_from_pvalue,nucleoside channel%2C receptor of phage T6 and colicin K,nucleoside channel%3B receptor of phage T6 and colicin K,NC_000913.3:431128-432013,16128396,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG3248] Nucleoside-specific outer membrane channel protein Tsx,946242,NP_414945.1,294,"nucleoside channel, receptor of phage T6 and colicin K"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,malG,malG,27.981454000000003,3.811958930820841,14.04474894439359,0.0025629348202068016,0.12099169035249437,3.496498194966283,BH_from_pvalue,maltose transporter subunit,part of maltose permease%2C inner membrane%3B membrane component of ABC superfamily,NC_000913.3:4242625-4243516,16131858,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG3833] ABC-type maltose transport system, permease component",948530,NP_418456.1,296,maltose transporter subunit
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,carA,carA,23.847892,-3.2553890453880605,0.10472014859192388,0.0008766977013220068,0.08870586741558123,3.42482440472506,BH_from_pvalue,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,,NC_000913.3:29650-30799,16128026,(METABOLISM) [E] Amino acid transport and metabolism; [F] Nucleotide transport and metabolism,[COG0505] Carbamoylphosphate synthase small subunit,949025,NP_414573.1,382,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,tdcB,tdcB,136.4018,4.263396532713212,19.20481994362413,0.015445762179333007,0.17935229107601197,3.1817432921530515,BH_from_pvalue,L-threonine dehydratase%2C catabolic,threonine dehydratase%2C catabolic,NC_000913.3:3265038-3266028,16131010,(METABOLISM) [E] Amino acid transport and metabolism,[COG1171] Threonine dehydratase,947633,NP_417587.1,329,"L-threonine dehydratase, catabolic"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,nupG,nupG,104.21278,3.8383826358510813,14.304355938288117,0.011581670815011064,0.16220796298027695,3.032045264608659,BH_from_pvalue,nucleoside transporter,transport of nucleosides%2C permease protein,NC_000913.3:3105713-3106970,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,fimA,fimA,302.61826,3.3758527143534263,10.380850293861153,0.003937793856345708,0.12706266643932745,3.0247033853236607,BH_from_pvalue,major type 1 subunit fimbrin (pilin),,NC_000913.3:4543114-4543663,16132135,(CELLULAR PROCESSES AND SIGNALING) [N] Cell motility,[COG3539] Pilin (type 1 fimbria component protein),948838,NP_418734.1,182,major type 1 subunit fimbrin (pilin)
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ycdZ,ycdZ,140.14115999999999,3.860349446515876,14.523823988726921,0.01704334028155767,0.1805535150865858,2.8697608177206413,BH_from_pvalue,DUF1097 family inner membrane protein,,NC_000913.3:1100295-1100787,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,deoB,deoB,367.88841999999994,3.08167894346066,8.465990932512282,0.0022182957603213388,0.12086124134891546,2.8280966725744596,BH_from_pvalue,phosphopentomutase,,NC_000913.3:4619602-4620826,16132200,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG1015] Phosphopentomutase,948910,NP_418800.1,407,phosphopentomutase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yhjX,yhjX,19.107168,3.9501866515052306,15.456980910712627,0.0335096173635558,0.20465727339222897,2.7215712217582526,BH_from_pvalue,pyruvate-inducible inner membrane protein%2C putative transporter,putative resistance protein,NC_000913.3:3710798-3712007,16131418,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG2223] Nitrate/nitrite transporter NarK,948066,NP_418003.1,402,"pyruvate-inducible inner membrane protein, putative transporter"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,sibB,sibB,7.873188000000001,-3.6312089965724716,0.08070439227417028,0.018934521557533092,0.18526701093216996,2.6587781457096202,BH_from_pvalue,,identified in a large scale screen,NC_000913.3:2153643-2153779,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,uof,uof,319.879,-6.418167819709795,0.011693350540715667,0.18373127392963545,0.38656504325838237,2.6492747627658257,BH_from_pvalue,ryhB-regulated fur leader peptide,,NC_000913.3:710199-710725,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,treC,treC,88.47736,2.414864862774783,5.332695171483842,0.0007321517121957303,0.08409479134496833,2.596537326199832,BH_from_pvalue,trehalose-6-P hydrolase,trehalase 6-P hydrolase,NC_000913.3:4463053-4464709,16132061,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0366] Glycosidase,948762,NP_418660.1,551,trehalose-6-P hydrolase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ttdA,ttdA,7.7816174,2.8595351301664538,7.257814229484468,0.003997281358875169,0.1271135472122304,2.561594908417845,BH_from_pvalue,L-tartrate dehydratase%2C alpha subunit,L-tartrate dehydratase%2C subunit A,NC_000913.3:3206462-3207976,16130957,(METABOLISM) [C] Energy production and conversion,"[COG1951] Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain",947565,NP_417533.1,303,"L-tartrate dehydratase, alpha subunit"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,znuC,znuC,59.435860000000005,-2.4792318808816,0.1793398646469207,0.0013145687566624748,0.09919423906205657,2.487942785519753,BH_from_pvalue,zinc ABC transporter ATPase,,NC_000913.3:1942661-1944199,16129811,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG1121] ABC-type Mn2+/Zn2+ transport system, ATPase component",946374,NP_416372.1,251,zinc ABC transporter ATPase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,fdhF,fdhF,53.71752,2.003492529703858,4.009695078837562,0.00023337422734533657,0.06111659177302579,2.4319211205371785,BH_from_pvalue,formate dehydrogenase-H%2C selenopolypeptide subunit,selenopolypeptide subunit of formate dehydrogenase H,NC_000913.3:4297218-4299366,16131905,(POORLY CHARACTERIZED) [R] General function prediction only,[COG3383] Predicted molibdopterin-dependent oxidoreductase YjgC,948584,NP_418503.1,715,"formate dehydrogenase-H, selenopolypeptide subunit"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,sdsR,sdsR,822.12778,-3.4471779310659,0.09168452563901006,0.03285042345863652,0.2042598955835891,2.377921574979435,BH_from_pvalue,,identified in a large scale screen,NC_000913.3:1923065-1923314,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,lamB,lamB,26.326567999999998,2.625255229002558,6.169934736035386,0.0037969402878646366,0.12706266643932745,2.3521815228314953,BH_from_pvalue,maltose outer membrane porin (maltoporin),phage lambda receptor protein%3B maltose high-affinity receptor,NC_000913.3:4247970-4249311,16131862,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG4580] Maltoporin (phage lambda and maltose receptor),948548,NP_418460.1,446,maltose outer membrane porin (maltoporin)
